@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
76,2082,4,16227,72,0.995583,0.998082,0.113715,0.998082,0.886285,0.204168,0.995866,1.002225,0.055875
77,2082,4,16226,73,0.995521,0.998082,0.113721,0.998082,0.886279,0.204178,0.995812,1.00228,0.055895
78,2082,4,16225,74,0.99546,0.998082,0.113727,0.998082,0.886273,0.204188,0.995757,1.002335,0.0559
79,2082,4,16224,75,0.995398,0.998082,0.113733,0.998082,0.886267,0.204198,0.995703,1.00239,0.055901
80,2082,4,16223,76,0.995337,0.998082,0.113739,0.998082,0.886261,0.204208,0.995649,1.002444,0.055905
81,2082,4,16222,77,0.995276,0.998082,0.113746,0.998082,0.886254,0.204218,0.995594,1.002499,0.05592
82,2082,4,16221,78,0.995214,0.998082,0.113752,0.998082,0.886248,0.204228,0.99554,1.002554,0.055936
83,2082,4,16220,79,0.995153,0.998082,0.113758,0.998082,0.886242,0.204238,0.995485,1.002609,0.05595
84,2082,4,16219,80,0.995092,0.998082,0.113764,0.998082,0.886236,0.204248,0.995431,1.002664,0.055956
85,2082,4,16218,81,0.99503,0.998082,0.11377,0.998082,0.88623,0.204258,0.995377,1.002718,0.055963
86,2082,4,16217,82,0.994969,0.998082,0.113777,0.998082,0.886223,0.204268,0.995322,1.002773,0.055971
87,2082,4,16216,83,0.994908,0.998082,0.113783,0.998082,0.886217,0.204278,0.995268,1.002828,0.05599
88,2082,4,16215,84,0.994846,0.998082,0.113789,0.998082,0.886211,0.204288,0.995213,1.002883,0.056001
89,2082,4,16214,85,0.994785,0.998082,0.113795,0.998082,0.886205,0.204298,0.995159,1.002938,0.056033
90,2082,4,16213,86,0.994724,0.998082,0.113802,0.998082,0.886198,0.204308,0.995105,1.002992,0.056048
91,2082,4,16212,87,0.994662,0.998082,0.113808,0.998082,0.886192,0.204318,0.99505,1.003047,0.05605
92,2082,4,16211,88,0.994601,0.998082,0.113814,0.998082,0.886186,0.204328,0.994996,1.003102,0.056052
93,2082,4,16210,89,0.99454,0.998082,0.11382,0.998082,0.88618,0.204338,0.994942,1.003157,0.056081
94,2082,4,16209,90,0.994478,0.998082,0.113826,0.998082,0.886174,0.204348,0.994887,1.003212,0.056083
95,2082,4,16208,91,0.994417,0.998082,0.113833,0.998082,0.886167,0.204358,0.994833,1.003267,0.056099
96,2082,4,16207,92,0.994355,0.998082,0.113839,0.998082,0.886161,0.204368,0.994778,1.003321,0.056101
97,2082,4,16206,93,0.994294,0.998082,0.113845,0.998082,0.886155,0.204378,0.994724,1.003376,0.056132
98,2082,4,16205,94,0.994233,0.998082,0.113851,0.998082,0.886149,0.204388,0.99467,1.003431,0.056155
99,2082,4,16204,95,0.994171,0.998082,0.113858,0.998082,0.886142,0.204398,0.994615,1.003486,0.05618
100,2082,4,16203,96,0.99411,0.998082,0.113864,0.998082,0.886136,0.204408,0.994561,1.003541,0.056184
101,2082,4,16202,97,0.994049,0.998082,0.11387,0.998082,0.88613,0.204418,0.994506,1.003596,0.056274
102,2082,4,16201,98,0.993987,0.998082,0.113876,0.998082,0.886124,0.204428,0.994452,1.003651,0.056323
103,2082,4,16200,99,0.993926,0.998082,0.113883,0.998082,0.886117,0.204438,0.994398,1.003706,0.056337
104,2082,4,16199,100,0.993865,0.998082,0.113889,0.998082,0.886111,0.204448,0.994343,1.003761,0.056361
105,2082,4,16198,101,0.993803,0.998082,0.113895,0.998082,0.886105,0.204458,0.994289,1.003815,0.056405
106,2082,4,16197,102,0.993742,0.998082,0.113901,0.998082,0.886099,0.204468,0.994234,1.00387,0.056423
107,2082,4,16196,103,0.993681,0.998082,0.113907,0.998082,0.886093,0.204478,0.99418,1.003925,0.056423
108,2082,4,16195,104,0.993619,0.998082,0.113914,0.998082,0.886086,0.204489,0.994126,1.00398,0.05643
109,2082,4,16194,105,0.993558,0.998082,0.11392,0.998082,0.88608,0.204499,0.994071,1.004035,0.056433
110,2082,4,16193,106,0.993497,0.998082,0.113926,0.998082,0.886074,0.204509,0.994017,1.00409,0.056451
111,2082,4,16192,107,0.993435,0.998082,0.113932,0.998082,0.886068,0.204519,0.993962,1.004145,0.056455
112,2082,4,16191,108,0.993374,0.998082,0.113939,0.998082,0.886061,0.204529,0.993908,1.0042,0.056496
113,2082,4,16190,109,0.993312,0.998082,0.113945,0.998082,0.886055,0.204539,0.993854,1.004255,0.0565
114,2082,4,16189,110,0.993251,0.998082,0.113951,0.998082,0.886049,0.204549,0.993799,1.00431,0.056503
115,2082,4,16188,111,0.99319,0.998082,0.113957,0.998082,0.886043,0.204559,0.993745,1.004365,0.056503
116,2082,4,16187,112,0.993128,0.998082,0.113964,0.998082,0.886036,0.204569,0.993691,1.00442,0.056506
117,2082,4,16186,113,0.993067,0.998082,0.11397,0.998082,0.88603,0.204579,0.993636,1.004475,0.056523
118,2082,4,16185,114,0.993006,0.998082,0.113976,0.998082,0.886024,0.204589,0.993582,1.00453,0.056563
119,2082,4,16184,115,0.992944,0.998082,0.113982,0.998082,0.886018,0.204599,0.993527,1.004585,0.056588
120,2082,4,16183,116,0.992883,0.998082,0.113989,0.998082,0.886011,0.204609,0.993473,1.00464,0.056614
121,2082,4,16182,117,0.992822,0.998082,0.113995,0.998082,0.886005,0.204619,0.993419,1.004695,0.056675
122,2082,4,16181,118,0.99276,0.998082,0.114001,0.998082,0.885999,0.204629,0.993364,1.00475,0.056691
123,2081,5,16181,118,0.99276,0.997603,0.113952,0.997603,0.886048,0.204541,0.99331,1.004322,0.056747
124,2081,5,16180,119,0.992699,0.997603,0.113959,0.997603,0.886041,0.204551,0.993255,1.004377,0.056775
125,2081,5,16179,120,0.992638,0.997603,0.113965,0.997603,0.886035,0.204561,0.993201,1.004432,0.056855
126,2081,5,16178,121,0.992576,0.997603,0.113971,0.997603,0.886029,0.204571,0.993147,1.004487,0.056889
127,2081,5,16177,122,0.992515,0.997603,0.113977,0.997603,0.886023,0.204581,0.993092,1.004542,0.056913
128,2081,5,16176,123,0.992454,0.997603,0.113984,0.997603,0.886016,0.204591,0.993038,1.004597,0.056925
129,2081,5,16175,124,0.992392,0.997603,0.11399,0.997603,0.88601,0.204601,0.992983,1.004652,0.056937
130,2081,5,16174,125,0.992331,0.997603,0.113996,0.997603,0.886004,0.204611,0.992929,1.004707,0.056946
131,2081,5,16173,126,0.992269,0.997603,0.114002,0.997603,0.885998,0.204621,0.992875,1.004762,0.056965
