@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
86,1353,1290,7983,12427,0.391132,0.511918,0.144923,0.511918,0.855077,0.225895,0.40498,1.264059,0.287356
87,1352,1291,7946,12464,0.389319,0.51154,0.145408,0.51154,0.854592,0.226447,0.403331,1.268287,0.289308
88,1333,1310,7792,12618,0.381774,0.504351,0.146082,0.504351,0.853918,0.226547,0.395827,1.274171,0.289855
89,1333,1310,7777,12633,0.381039,0.504351,0.146323,0.504351,0.853677,0.226836,0.395176,1.276269,0.290698
90,1333,1310,7776,12634,0.38099,0.504351,0.146339,0.504351,0.853661,0.226855,0.395133,1.276409,0.294118
91,1327,1316,7735,12675,0.378981,0.502081,0.146436,0.502081,0.853564,0.226741,0.393094,1.277254,0.297619
92,1326,1317,7723,12687,0.378393,0.501703,0.146536,0.501703,0.853464,0.226822,0.39253,1.278125,0.298246
93,1320,1323,7667,12743,0.375649,0.499432,0.146879,0.499432,0.853121,0.226999,0.389841,1.281119,0.299145
94,1319,1324,7648,12762,0.374718,0.499054,0.147095,0.499054,0.852905,0.227218,0.388973,1.283004,0.3
95,1316,1327,7636,12774,0.37413,0.497919,0.147006,0.497919,0.852994,0.226994,0.388323,1.28223,0.30303
96,1315,1328,7629,12781,0.373787,0.497541,0.147026,0.497541,0.852974,0.226979,0.387976,1.282402,0.303867
97,1309,1334,7545,12865,0.369672,0.495271,0.147843,0.495271,0.852157,0.227712,0.384071,1.289527,0.306748
98,1306,1337,7508,12902,0.367859,0.494135,0.148173,0.494135,0.851827,0.227983,0.382336,1.29241,0.307692
99,1306,1337,7486,12924,0.366781,0.494135,0.148544,0.494135,0.851456,0.228422,0.381382,1.295644,0.3125
100,1299,1344,7395,13015,0.362322,0.491487,0.149413,0.491487,0.850587,0.229161,0.377131,1.303226,0.314465
101,1298,1345,7362,13048,0.360706,0.491109,0.149885,0.491109,0.850115,0.229674,0.375656,1.307336,0.314961
102,1295,1348,7325,13085,0.358893,0.489974,0.150232,0.489974,0.849768,0.229956,0.373921,1.310367,0.315534
103,1292,1351,7286,13124,0.356982,0.488838,0.150618,0.488838,0.849382,0.230283,0.372099,1.313732,0.317073
104,1291,1352,7247,13163,0.355071,0.48846,0.151206,0.48846,0.848794,0.230927,0.370364,1.318865,0.319767
105,1278,1365,7087,13323,0.347232,0.483541,0.152779,0.483541,0.847221,0.232195,0.362859,1.332586,0.321101
106,1276,1367,7067,13343,0.346252,0.482785,0.152943,0.482785,0.847057,0.232296,0.361905,1.334009,0.321937
107,1248,1395,6684,13726,0.327487,0.472191,0.157337,0.472191,0.842663,0.236028,0.344077,1.372341,0.322581
108,1246,1397,6675,13735,0.327046,0.471434,0.157303,0.471434,0.842697,0.235895,0.3436,1.372045,0.326087
109,1244,1399,6659,13751,0.326262,0.470677,0.157409,0.470677,0.842591,0.235919,0.342819,1.372963,0.326797
110,1244,1399,6657,13753,0.326164,0.470677,0.157448,0.470677,0.842552,0.235964,0.342732,1.37331,0.333333
111,1237,1406,6627,13783,0.324694,0.468029,0.157299,0.468029,0.842701,0.235462,0.341127,1.372007,0.344828
112,1236,1407,6602,13808,0.323469,0.46765,0.157693,0.46765,0.842307,0.235855,0.339999,1.375446,0.347222
