@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
82,2643,0,20187,223,0.989074,1,0.115769,1,0.884231,0.207514,0.990327,1.009768,0.00048
83,2643,0,20186,224,0.989025,1,0.115774,1,0.884226,0.207522,0.990283,1.009812,0.000485
84,2643,0,20183,227,0.988878,1,0.115789,1,0.884211,0.207546,0.990153,1.009945,0.000508
85,2643,0,20180,230,0.988731,1,0.115804,1,0.884196,0.207571,0.990023,1.010078,0.000513
86,2643,0,20179,231,0.988682,1,0.115809,1,0.884191,0.207579,0.98998,1.010122,0.000516
87,2643,0,20178,232,0.988633,1,0.115814,1,0.884186,0.207587,0.989936,1.010166,0.000527
88,2643,0,20177,233,0.988584,1,0.115819,1,0.884181,0.207595,0.989893,1.01021,0.000536
89,2643,0,20173,237,0.988388,1,0.11584,1,0.88416,0.207628,0.989719,1.010387,0.000547
90,2643,0,20172,238,0.988339,1,0.115845,1,0.884155,0.207636,0.989676,1.010432,0.000549
91,2643,0,20169,241,0.988192,1,0.11586,1,0.88414,0.207661,0.989546,1.010565,0.000552
92,2643,0,20168,242,0.988143,1,0.115865,1,0.884135,0.207669,0.989502,1.010609,0.000556
93,2643,0,20167,243,0.988094,1,0.11587,1,0.88413,0.207677,0.989459,1.010653,0.000558
94,2643,0,20166,244,0.988045,1,0.115875,1,0.884125,0.207685,0.989416,1.010698,0.000569
95,2643,0,20164,246,0.987947,1,0.115885,1,0.884115,0.207701,0.989329,1.010786,0.000579
96,2643,0,20163,247,0.987898,1,0.115891,1,0.884109,0.20771,0.989286,1.01083,0.000589
97,2643,0,20150,260,0.987261,1,0.115957,1,0.884043,0.207816,0.988722,1.011407,0.000593
98,2643,0,20149,261,0.987212,1,0.115962,1,0.884038,0.207824,0.988678,1.011451,0.000595
99,2643,0,20148,262,0.987163,1,0.115967,1,0.884033,0.207832,0.988635,1.011496,0.000598
100,2643,0,20147,263,0.987114,1,0.115972,1,0.884028,0.20784,0.988592,1.01154,0.000606
101,2643,0,20146,264,0.987065,1,0.115977,1,0.884023,0.207848,0.988548,1.011585,0.000639
102,2643,0,20145,265,0.987016,1,0.115982,1,0.884018,0.207857,0.988505,1.011629,0.00064
103,2643,0,20144,266,0.986967,1,0.115987,1,0.884013,0.207865,0.988461,1.011673,0.000652
104,2643,0,20143,267,0.986918,1,0.115992,1,0.884008,0.207873,0.988418,1.011718,0.000677
105,2643,0,20131,279,0.98633,1,0.116053,1,0.883947,0.207971,0.987897,1.012251,0.000702
106,2643,0,20123,287,0.985938,1,0.116094,1,0.883906,0.208037,0.98755,1.012607,0.000703
107,2643,0,20122,288,0.985889,1,0.116099,1,0.883901,0.208045,0.987507,1.012651,0.000771
108,2643,0,20119,291,0.985742,1,0.116115,1,0.883885,0.208069,0.987377,1.012784,0.000779
109,2643,0,20118,292,0.985693,1,0.11612,1,0.88388,0.208077,0.987334,1.012829,0.000786
110,2643,0,20117,293,0.985644,1,0.116125,1,0.883875,0.208086,0.98729,1.012873,0.000817
111,2643,0,20116,294,0.985595,1,0.11613,1,0.88387,0.208094,0.987247,1.012918,0.000818
112,2643,0,20115,295,0.985546,1,0.116135,1,0.883865,0.208102,0.987203,1.012962,0.000822
113,2643,0,20114,296,0.985497,1,0.11614,1,0.88386,0.20811,0.98716,1.013007,0.000861
114,2643,0,20112,298,0.985399,1,0.11615,1,0.88385,0.208127,0.987073,1.013096,0.000864
115,2643,0,20111,299,0.98535,1,0.116155,1,0.883845,0.208135,0.98703,1.013141,0.000878
116,2643,0,20110,300,0.985301,1,0.116161,1,0.883839,0.208143,0.986987,1.013185,0.000901
117,2643,0,20109,301,0.985252,1,0.116166,1,0.883834,0.208151,0.986943,1.01323,0.000916
118,2643,0,20108,302,0.985203,1,0.116171,1,0.883829,0.208159,0.9869,1.013274,0.000941
119,2643,0,20107,303,0.985154,1,0.116176,1,0.883824,0.208168,0.986856,1.013319,0.000955
120,2643,0,20106,304,0.985105,1,0.116181,1,0.883819,0.208176,0.986813,1.013363,0.000974
121,2643,0,20105,305,0.985056,1,0.116186,1,0.883814,0.208184,0.98677,1.013408,0.000975
122,2643,0,20104,306,0.985007,1,0.116191,1,0.883809,0.208192,0.986726,1.013452,0.000984
123,2643,0,20103,307,0.984958,1,0.116196,1,0.883804,0.2082,0.986683,1.013497,0.00099
124,2643,0,20100,310,0.984811,1,0.116212,1,0.883788,0.208225,0.986553,1.013631,0.000992
125,2643,0,20098,312,0.984713,1,0.116222,1,0.883778,0.208241,0.986466,1.01372,0.001037
126,2643,0,20097,313,0.984664,1,0.116227,1,0.883773,0.20825,0.986423,1.013764,0.001099
127,2643,0,20096,314,0.984615,1,0.116232,1,0.883768,0.208258,0.986379,1.013809,0.001106
128,2643,0,20095,315,0.984566,1,0.116237,1,0.883763,0.208266,0.986336,1.013853,0.001111
129,2643,0,20094,316,0.984517,1,0.116242,1,0.883758,0.208274,0.986292,1.013898,0.001139
130,2643,0,20091,319,0.98437,1,0.116258,1,0.883742,0.208299,0.986162,1.014032,0.001141
131,2643,0,20086,324,0.984125,1,0.116283,1,0.883717,0.20834,0.985945,1.014255,0.001181
132,2643,0,20085,325,0.984076,1,0.116288,1,0.883712,0.208348,0.985902,1.0143,0.001183
133,2643,0,20081,329,0.98388,1,0.116309,1,0.883691,0.208381,0.985729,1.014478,0.00126
134,2643,0,20080,330,0.983831,1,0.116314,1,0.883686,0.208389,0.985685,1.014523,0.001278
135,2643,0,20079,331,0.983782,1,0.116319,1,0.883681,0.208397,0.985642,1.014567,0.001284
136,2643,0,20078,332,0.983733,1,0.116324,1,0.883676,0.208406,0.985598,1.014612,0.001311
137,2643,0,20077,333,0.983684,1,0.116329,1,0.883671,0.208414,0.985555,1.014657,0.001325
138,2643,0,20076,334,0.983635,1,0.116334,1,0.883666,0.208422,0.985512,1.014701,0.001334
139,2643,0,20074,336,0.983537,1,0.116345,1,0.883655,0.208438,0.985425,1.014791,0.001368
140,2643,0,20073,337,0.983488,1,0.11635,1,0.88365,0.208447,0.985382,1.014835,0.001534
141,2643,0,20072,338,0.983439,1,0.116355,1,0.883645,0.208455,0.985338,1.01488,0.001581
142,2643,0,20071,339,0.98339,1,0.11636,1,0.88364,0.208463,0.985295,1.014925,0.00159
143,2643,0,20069,341,0.983293,1,0.11637,1,0.88363,0.20848,0.985208,1.015014,0.001599
144,2643,0,20068,342,0.983244,1,0.116375,1,0.883625,0.208488,0.985165,1.015059,0.001616
145,2643,0,20067,343,0.983195,1,0.11638,1,0.88362,0.208496,0.985121,1.015103,0.001624
146,2643,0,20066,344,0.983146,1,0.116386,1,0.883614,0.208504,0.985078,1.015148,0.001658
147,2643,0,20065,345,0.983097,1,0.116391,1,0.883609,0.208512,0.985034,1.015193,0.001667
148,2643,0,20063,347,0.982999,1,0.116401,1,0.883599,0.208529,0.984948,1.015282,0.001686
149,2643,0,20062,348,0.98295,1,0.116406,1,0.883594,0.208537,0.984904,1.015327,0.001774
150,2643,0,20061,349,0.982901,1,0.116411,1,0.883589,0.208545,0.984861,1.015372,0.001846
151,2643,0,20060,350,0.982852,1,0.116416,1,0.883584,0.208554,0.984818,1.015416,0.001867
152,2643,0,20059,351,0.982803,1,0.116421,1,0.883579,0.208562,0.984774,1.015461,0.001917
153,2643,0,20058,352,0.982754,1,0.116427,1,0.883573,0.20857,0.984731,1.015506,0.00195
154,2643,0,20057,353,0.982705,1,0.116432,1,0.883568,0.208578,0.984687,1.015551,0.001983
155,2643,0,20056,354,0.982656,1,0.116437,1,0.883563,0.208587,0.984644,1.015595,0.002109
156,2643,0,20055,355,0.982607,1,0.116442,1,0.883558,0.208595,0.984601,1.01564,0.002241
157,2643,0,20054,356,0.982558,1,0.116447,1,0.883553,0.208603,0.984557,1.015685,0.002385
158,2643,0,20053,357,0.982509,1,0.116452,1,0.883548,0.208611,0.984514,1.01573,0.002577
