@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
77,2642,1,20305,105,0.994855,0.999622,0.115135,0.999622,0.884865,0.206487,0.995402,1.004239,0.000215
78,2642,1,20300,110,0.99461,0.999622,0.11516,0.999622,0.88484,0.206527,0.995185,1.004458,0.000226
79,2642,1,20297,113,0.994463,0.999622,0.115175,0.999622,0.884825,0.206551,0.995055,1.004589,0.000228
80,2642,1,20296,114,0.994415,0.999622,0.11518,0.999622,0.88482,0.20656,0.995011,1.004633,0.000228
81,2642,1,20295,115,0.994366,0.999622,0.115185,0.999622,0.884815,0.206568,0.994968,1.004677,0.000228
82,2642,1,20294,116,0.994317,0.999622,0.11519,0.999622,0.88481,0.206576,0.994925,1.004721,0.000229
83,2642,1,20293,117,0.994268,0.999622,0.115195,0.999622,0.884805,0.206584,0.994881,1.004765,0.000237
84,2642,1,20292,118,0.994219,0.999622,0.1152,0.999622,0.8848,0.206592,0.994838,1.004808,0.00024
85,2642,1,20286,124,0.993925,0.999622,0.11523,0.999622,0.88477,0.20664,0.994578,1.005071,0.00024
86,2642,1,20284,126,0.993827,0.999622,0.11524,0.999622,0.88476,0.206656,0.994491,1.005159,0.000241
87,2642,1,20282,128,0.993729,0.999622,0.11525,0.999622,0.88475,0.206673,0.994404,1.005247,0.000245
88,2642,1,20281,129,0.99368,0.999622,0.115255,0.999622,0.884745,0.206681,0.994361,1.005291,0.000246
89,2642,1,20279,131,0.993582,0.999622,0.115265,0.999622,0.884735,0.206697,0.994274,1.005378,0.000246
90,2642,1,20278,132,0.993533,0.999622,0.115271,0.999622,0.884729,0.206705,0.994231,1.005422,0.000252
91,2642,1,20277,133,0.993484,0.999622,0.115276,0.999622,0.884724,0.206713,0.994187,1.005466,0.000253
92,2642,1,20275,135,0.993386,0.999622,0.115286,0.999622,0.884714,0.206729,0.994101,1.005554,0.000255
93,2642,1,20273,137,0.993288,0.999622,0.115296,0.999622,0.884704,0.206745,0.994014,1.005642,0.000256
94,2642,1,20269,141,0.993092,0.999622,0.115316,0.999622,0.884684,0.206778,0.99384,1.005817,0.000257
95,2642,1,20266,144,0.992945,0.999622,0.115331,0.999622,0.884669,0.206802,0.99371,1.005949,0.000257
96,2642,1,20265,145,0.992896,0.999622,0.115336,0.999622,0.884664,0.20681,0.993667,1.005993,0.00026
97,2642,1,20257,153,0.992504,0.999622,0.115376,0.999622,0.884624,0.206875,0.99332,1.006344,0.000261
98,2642,1,20256,154,0.992455,0.999622,0.115381,0.999622,0.884619,0.206883,0.993276,1.006388,0.000262
99,2642,1,20255,155,0.992406,0.999622,0.115386,0.999622,0.884614,0.206891,0.993233,1.006432,0.000264
100,2642,1,20254,156,0.992357,0.999622,0.115391,0.999622,0.884609,0.206899,0.99319,1.006476,0.000265
101,2642,1,20253,157,0.992308,0.999622,0.115396,0.999622,0.884604,0.206907,0.993146,1.00652,0.000268
102,2642,1,20252,158,0.992259,0.999622,0.115401,0.999622,0.884599,0.206915,0.993103,1.006564,0.000271
103,2642,1,20241,169,0.99172,0.999622,0.115457,0.999622,0.884543,0.207005,0.992626,1.007048,0.000273
104,2642,1,20240,170,0.991671,0.999622,0.115462,0.999622,0.884538,0.207013,0.992582,1.007092,0.000275
105,2642,1,20239,171,0.991622,0.999622,0.115467,0.999622,0.884533,0.207021,0.992539,1.007136,0.000278
106,2642,1,20238,172,0.991573,0.999622,0.115472,0.999622,0.884528,0.207029,0.992496,1.00718,0.000281
107,2642,1,20237,173,0.991524,0.999622,0.115477,0.999622,0.884523,0.207037,0.992452,1.007224,0.000284
108,2642,1,20236,174,0.991475,0.999622,0.115482,0.999622,0.884518,0.207045,0.992409,1.007268,0.000284
109,2642,1,20235,175,0.991426,0.999622,0.115487,0.999622,0.884513,0.207053,0.992365,1.007312,0.000288
110,2642,1,20233,177,0.991328,0.999622,0.115497,0.999622,0.884503,0.20707,0.992279,1.0074,0.000289
111,2642,1,20232,178,0.991279,0.999622,0.115502,0.999622,0.884498,0.207078,0.992235,1.007444,0.000292
112,2642,1,20230,180,0.991181,0.999622,0.115512,0.999622,0.884488,0.207094,0.992149,1.007532,0.000295
113,2642,1,20216,194,0.990495,0.999622,0.115583,0.999622,0.884417,0.207208,0.991541,1.008149,0.000295
114,2642,1,20211,199,0.99025,0.999622,0.115608,0.999622,0.884392,0.207248,0.991324,1.00837,0.000298
115,2642,1,20210,200,0.990201,0.999622,0.115614,0.999622,0.884386,0.207256,0.991281,1.008414,0.000299
116,2642,1,20209,201,0.990152,0.999622,0.115619,0.999622,0.884381,0.207264,0.991238,1.008458,0.000302
117,2642,1,20208,202,0.990103,0.999622,0.115624,0.999622,0.884376,0.207273,0.991194,1.008502,0.000302
118,2642,1,20207,203,0.990054,0.999622,0.115629,0.999622,0.884371,0.207281,0.991151,1.008546,0.00031
119,2642,1,20196,214,0.989515,0.999622,0.115684,0.999622,0.884316,0.20737,0.990674,1.009032,0.000314
120,2642,1,20175,235,0.988486,0.999622,0.115791,0.999622,0.884209,0.207541,0.989763,1.009961,0.000317
121,2642,1,20174,236,0.988437,0.999622,0.115796,0.999622,0.884204,0.207549,0.989719,1.010005,0.000321
122,2642,1,20173,237,0.988388,0.999622,0.115801,0.999622,0.884199,0.207558,0.989676,1.010049,0.000323
123,2642,1,20172,238,0.988339,0.999622,0.115806,0.999622,0.884194,0.207566,0.989633,1.010094,0.000332
124,2642,1,20171,239,0.98829,0.999622,0.115811,0.999622,0.884189,0.207574,0.989589,1.010138,0.000338
125,2642,1,20168,242,0.988143,0.999622,0.115826,0.999622,0.884174,0.207598,0.989459,1.010271,0.000339
126,2642,1,20167,243,0.988094,0.999622,0.115831,0.999622,0.884169,0.207606,0.989416,1.010315,0.000339
127,2642,1,20166,244,0.988045,0.999622,0.115837,0.999622,0.884163,0.207615,0.989372,1.010359,0.000343
128,2642,1,20165,245,0.987996,0.999622,0.115842,0.999622,0.884158,0.207623,0.989329,1.010404,0.000344
129,2642,1,20164,246,0.987947,0.999622,0.115847,0.999622,0.884153,0.207631,0.989286,1.010448,0.000353
130,2642,1,20163,247,0.987898,0.999622,0.115852,0.999622,0.884148,0.207639,0.989242,1.010492,0.000355
131,2642,1,20161,249,0.9878,0.999622,0.115862,0.999622,0.884138,0.207655,0.989155,1.010581,0.000357
132,2642,1,20160,250,0.987751,0.999622,0.115867,0.999622,0.884133,0.207664,0.989112,1.010625,0.000359
133,2642,1,20159,251,0.987702,0.999622,0.115872,0.999622,0.884128,0.207672,0.989069,1.01067,0.00036
134,2642,1,20158,252,0.987653,0.999622,0.115877,0.999622,0.884123,0.20768,0.989025,1.010714,0.000366
135,2642,1,20157,253,0.987604,0.999622,0.115882,0.999622,0.884118,0.207688,0.988982,1.010758,0.000377
136,2642,1,20156,254,0.987555,0.999622,0.115887,0.999622,0.884113,0.207696,0.988939,1.010803,0.000382
137,2642,1,20155,255,0.987506,0.999622,0.115892,0.999622,0.884108,0.207704,0.988895,1.010847,0.000384
138,2642,1,20154,256,0.987457,0.999622,0.115898,0.999622,0.884102,0.207713,0.988852,1.010891,0.000391
139,2642,1,20153,257,0.987408,0.999622,0.115903,0.999622,0.884097,0.207721,0.988808,1.010936,0.0004
140,2642,1,20152,258,0.987359,0.999622,0.115908,0.999622,0.884092,0.207729,0.988765,1.01098,0.000409
141,2642,1,20151,259,0.98731,0.999622,0.115913,0.999622,0.884087,0.207737,0.988722,1.011024,0.000416
142,2642,1,20144,266,0.986967,0.999622,0.115948,0.999622,0.884052,0.207794,0.988418,1.011335,0.000425
143,2642,1,20143,267,0.986918,0.999622,0.115953,0.999622,0.884047,0.207802,0.988375,1.011379,0.000429
144,2642,1,20142,268,0.986869,0.999622,0.115959,0.999622,0.884041,0.207811,0.988331,1.011424,0.000435
145,2642,1,20141,269,0.98682,0.999622,0.115964,0.999622,0.884036,0.207819,0.988288,1.011468,0.000436
146,2642,1,20132,278,0.986379,0.999622,0.116009,0.999622,0.883991,0.207892,0.987897,1.011868,0.000442
147,2642,1,20119,291,0.985742,0.999622,0.116076,0.999622,0.883924,0.207999,0.987334,1.012446,0.000447
148,2642,1,20118,292,0.985693,0.999622,0.116081,0.999622,0.883919,0.208007,0.98729,1.01249,0.000459
149,2642,1,20117,293,0.985644,0.999622,0.116086,0.999622,0.883914,0.208015,0.987247,1.012535,0.000494
150,2642,1,20116,294,0.985595,0.999622,0.116091,0.999622,0.883909,0.208023,0.987203,1.012579,0.000495
151,2642,1,20115,295,0.985546,0.999622,0.116096,0.999622,0.883904,0.208031,0.98716,1.012624,0.000508
152,2642,1,20114,296,0.985497,0.999622,0.116101,0.999622,0.883899,0.20804,0.987117,1.012668,0.000525
153,2642,1,20113,297,0.985448,0.999622,0.116106,0.999622,0.883894,0.208048,0.987073,1.012713,0.000525
154,2641,2,20113,297,0.985448,0.999243,0.116068,0.999243,0.883932,0.207977,0.98703,1.012374,0.000531
155,2641,2,20111,299,0.98535,0.999243,0.116078,0.999243,0.883922,0.207994,0.986943,1.012463,0.000603
156,2641,2,20110,300,0.985301,0.999243,0.116083,0.999243,0.883917,0.208002,0.9869,1.012507,0.000633
157,2641,2,20108,302,0.985203,0.999243,0.116093,0.999243,0.883907,0.208018,0.986813,1.012596,0.000641
158,2641,2,20107,303,0.985154,0.999243,0.116098,0.999243,0.883902,0.208026,0.98677,1.012641,0.000751
159,2641,2,20106,304,0.985105,0.999243,0.116103,0.999243,0.883897,0.208035,0.986726,1.012685,0.00078
160,2641,2,20105,305,0.985056,0.999243,0.116108,0.999243,0.883892,0.208043,0.986683,1.01273,0.000782
161,2641,2,20104,306,0.985007,0.999243,0.116113,0.999243,0.883887,0.208051,0.986639,1.012774,0.000784
162,2641,2,20103,307,0.984958,0.999243,0.116119,0.999243,0.883881,0.208059,0.986596,1.012819,0.000798
163,2641,2,20102,308,0.984909,0.999243,0.116124,0.999243,0.883876,0.208067,0.986553,1.012864,0.000812
164,2641,2,20101,309,0.98486,0.999243,0.116129,0.999243,0.883871,0.208076,0.986509,1.012908,0.000831
165,2641,2,20100,310,0.984811,0.999243,0.116134,0.999243,0.883866,0.208084,0.986466,1.012953,0.000833
166,2641,2,20099,311,0.984762,0.999243,0.116139,0.999243,0.883861,0.208092,0.986423,1.012997,0.001014
167,2641,2,20098,312,0.984713,0.999243,0.116144,0.999243,0.883856,0.2081,0.986379,1.013042,0.001015
168,2641,2,20097,313,0.984664,0.999243,0.116149,0.999243,0.883851,0.208108,0.986336,1.013086,0.001025
169,2641,2,20096,314,0.984615,0.999243,0.116154,0.999243,0.883846,0.208117,0.986292,1.013131,0.001026
170,2641,2,20095,315,0.984566,0.999243,0.116159,0.999243,0.883841,0.208125,0.986249,1.013175,0.001055
171,2641,2,20094,316,0.984517,0.999243,0.116165,0.999243,0.883835,0.208133,0.986206,1.01322,0.001056
172,2641,2,20093,317,0.984468,0.999243,0.11617,0.999243,0.88383,0.208141,0.986162,1.013265,0.001057
173,2641,2,20091,319,0.98437,0.999243,0.11618,0.999243,0.88382,0.208158,0.986076,1.013354,0.001135
174,2641,2,20090,320,0.984321,0.999243,0.116185,0.999243,0.883815,0.208166,0.986032,1.013398,0.001196
